date,description,amount,category
14-11-2024,Clothes shopping at Mall,-1443,Shopping
14-11-2024,Amazon online purchase,-4413,Shopping
14-11-2024,Books purchase,-4620,Education
15-11-2024,Online course,-845,Education
16-11-2024,Petrol pump refill,-4285,Transport
17-11-2024,Books purchase,-5691,Education
17-11-2024,Bonus received,54658,Income
18-11-2024,Clothes shopping at Mall,-2355,Shopping
18-11-2024,Rent payment,-1533,Bills
19-11-2024,Metro recharge,-4052,Transport
20-11-2024,Amusement park,-4231,Entertainment
21-11-2024,Home appliances,-5399,Shopping
21-11-2024,Mobile recharge,-3803,Bills
22-11-2024,Amusement park,-2842,Entertainment
22-11-2024,Monthly salary deposit,19381,Income
23-11-2024,Netflix subscription,-2004,Entertainment
24-11-2024,Dental checkup,-2827,Health
24-11-2024,Weekly groceries,-1987,Food
24-11-2024,Lunch with friends,-4593,Food
25-11-2024,Water bill payment,-882,Bills
25-11-2024,Weekly groceries,-2143,Food
25-11-2024,Netflix subscription,-5292,Entertainment
26-11-2024,Concert ticket,-4819,Entertainment
26-11-2024,Doctor consultation,-4801,Health
27-11-2024,Bonus received,35947,Income
27-11-2024,Water bill payment,-5685,Bills
27-11-2024,Amazon online purchase,-985,Shopping
28-11-2024,Clothes shopping at Mall,-5814,Shopping
28-11-2024,Petrol pump refill,-2795,Transport
28-11-2024,Electronics store purchase,-3483,Shopping
29-11-2024,Professional certification,-5004,Education
29-11-2024,Electricity bill,-3559,Bills
29-11-2024,Gym membership,-243,Health
30-11-2024,Taxi fare,-3071,Transport
01-12-2024,Snacks from CCD,-921,Food
02-12-2024,Books purchase,-5341,Education
02-12-2024,Metro recharge,-4001,Transport
03-12-2024,Monthly salary deposit,57402,Income
04-12-2024,Uber ride,-3316,Transport
04-12-2024,Home appliances,-1668,Shopping
04-12-2024,Amazon online purchase,-4639,Shopping
05-12-2024,Weekly groceries,-4016,Food
05-12-2024,Online course,-633,Education
06-12-2024,Amazon online purchase,-1365,Shopping
07-12-2024,Movie tickets,-1103,Entertainment
07-12-2024,Freelance project payment,23140,Income
07-12-2024,Weekly groceries,-2876,Food
08-12-2024,Bonus received,51524,Income
09-12-2024,Home appliances,-912,Shopping
09-12-2024,Bonus received,35147,Income
09-12-2024,Online course,-5878,Education
10-12-2024,Home appliances,-990,Shopping
10-12-2024,Doctor consultation,-2384,Health
11-12-2024,Metro recharge,-2081,Transport
12-12-2024,Doctor consultation,-430,Health
12-12-2024,Snacks from CCD,-1958,Food
12-12-2024,Rent payment,-5953,Bills
13-12-2024,Petrol pump refill,-3529,Transport
13-12-2024,Bonus received,53598,Income
14-12-2024,Weekend getaway,-1678,Entertainment
14-12-2024,Internet bill,-5712,Bills
15-12-2024,Internet bill,-1072,Bills
15-12-2024,Weekly groceries,-1480,Food
15-12-2024,Freelance project payment,52304,Income
16-12-2024,Concert ticket,-3082,Entertainment
17-12-2024,Grocery shopping at D-Mart,-5469,Food
17-12-2024,Bowling night,-4352,Entertainment
18-12-2024,Weekend getaway,-3480,Entertainment
18-12-2024,Professional certification,-2374,Education
18-12-2024,Freelance project payment,38081,Income
19-12-2024,Freelance project payment,52152,Income
19-12-2024,Mobile recharge,-3500,Bills
19-12-2024,Dinner at restaurant,-2928,Food
20-12-2024,Metro recharge,-5009,Transport
21-12-2024,Books purchase,-3492,Education
22-12-2024,Gym membership,-780,Health
23-12-2024,Bowling night,-4644,Entertainment
23-12-2024,Rent payment,-4322,Bills
24-12-2024,Online course,-1880,Education
24-12-2024,Snacks from CCD,-2498,Food
25-12-2024,Freelance project payment,49349,Income
25-12-2024,Petrol pump refill,-4781,Transport
25-12-2024,Internet bill,-1635,Bills
26-12-2024,Petrol pump refill,-2883,Transport
26-12-2024,Online course,-1510,Education
27-12-2024,Weekly groceries,-4620,Food
27-12-2024,Doctor consultation,-3773,Health
28-12-2024,Amusement park,-5211,Entertainment
28-12-2024,Monthly salary deposit,34873,Income
29-12-2024,Petrol pump refill,-771,Transport
29-12-2024,Water bill payment,-1476,Bills
29-12-2024,Netflix subscription,-4659,Entertainment
30-12-2024,Amusement park,-1479,Entertainment
